offense_description,district,shooting,month,weekend,hour,day
PROPERTY - LOST/ MISSING,E13,0,1,1,3,1
VANDALISM,D4,0,1,1,3,1
BALLISTICS EVIDENCE/FOUND,B3,1,1,1,3,1
ASSAULT - SIMPLE,D4,0,1,1,3,1
FIREARM/WEAPON - FOUND OR CONFISCATED,B3,0,1,1,3,1
VANDALISM,A1,0,1,1,3,1
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,1,1,3,1
INVESTIGATE PROPERTY,D14,0,1,1,3,1
INVESTIGATE PERSON,E5,0,1,1,4,1
LARCENY THEFT FROM MV - NON-ACCESSORY,C6,0,1,1,4,1
EXTORTION OR BLACKMAIL,D4,0,1,1,4,1
SICK/INJURED/MEDICAL - POLICE,B3,0,1,1,4,1
ASSAULT - AGGRAVATED,B2,1,1,1,4,1
PROPERTY - LOST/ MISSING,A1,0,1,1,4,1
INVESTIGATE PROPERTY,E18,0,1,1,4,1
ASSAULT - SIMPLE,D14,0,1,1,4,1
M/V ACCIDENT - PERSONAL INJURY,B3,0,1,1,4,1
INVESTIGATE PROPERTY,B2,0,1,1,4,1
NOISY PARTY/RADIO-NO ARREST,A1,0,1,1,4,1
M/V ACCIDENT - PROPERTY DAMAGE,E18,0,1,1,4,1
SICK/INJURED/MEDICAL - PERSON,A1,0,1,1,4,1
INVESTIGATE PROPERTY,C11,1,1,1,5,1
LARCENY THEFT OF BICYCLE,D4,0,1,1,5,1
AUTO THEFT,B3,0,1,1,5,1
ASSAULT - SIMPLE,A7,0,1,1,5,1
ASSAULT - SIMPLE,D4,0,1,1,5,1
ASSAULT - AGGRAVATED,E18,0,1,1,6,1
SICK/INJURED/MEDICAL - PERSON,A7,0,1,1,6,1
VANDALISM,C11,0,1,1,6,1
LARCENY THEFT FROM MV - NON-ACCESSORY,B2,0,1,1,6,1
SICK ASSIST,C11,0,1,1,6,1
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,1,1,6,1
VERBAL DISPUTE,C11,0,1,1,7,1
ASSAULT - SIMPLE,D4,0,1,1,7,1
SUDDEN DEATH,E18,0,1,1,7,1
INVESTIGATE PROPERTY,D4,1,1,1,7,1
VANDALISM,E13,0,1,1,7,1
FRAUD - FALSE PRETENSE / SCHEME,A1,0,1,1,8,1
FRAUD - CREDIT CARD / ATM FRAUD,C6,0,1,1,8,1
LARCENY THEFT OF BICYCLE,D14,0,1,1,8,1
INVESTIGATE PERSON,B3,0,1,1,8,1
INVESTIGATE PERSON,A1,0,1,1,9,1
FRAUD - IMPERSONATION,E5,0,1,1,9,1
INVESTIGATE PROPERTY,A1,0,1,1,9,1
LARCENY SHOPLIFTING,A7,0,1,1,9,1
INVESTIGATE PERSON,E18,0,1,1,9,1
SICK/INJURED/MEDICAL - PERSON,E18,0,1,1,9,1
M/V ACCIDENT - PROPERTY DAMAGE,B3,0,1,1,9,1
TOWED MOTOR VEHICLE,B2,0,1,1,9,1
PROPERTY - LOST/ MISSING,D4,0,1,1,9,1
FRAUD - FALSE PRETENSE / SCHEME,B2,0,1,1,10,1
AUTO THEFT,A7,0,1,1,10,1
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,1,1,10,1
THREATS TO DO BODILY HARM,B2,0,1,1,10,1
HARASSMENT/ CRIMINAL HARASSMENT,D4,0,1,1,10,1
TRESPASSING,C11,0,1,1,10,1
INVESTIGATE PERSON,C11,0,1,1,10,1
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,1,1,11,1
INVESTIGATE PERSON,D4,0,1,1,11,1
TOWED MOTOR VEHICLE,C6,0,1,1,11,1
INVESTIGATE PERSON,B2,0,1,1,11,1
ASSAULT - AGGRAVATED,B3,0,1,1,11,1
BURGLARY - RESIDENTIAL,E13,0,1,1,11,1
SUDDEN DEATH,A1,0,1,1,11,1
INVESTIGATE PERSON,C11,0,1,1,12,1
FRAUD - WIRE,A15,0,1,1,12,1
LARCENY ALL OTHERS,D14,0,1,1,12,1
INVESTIGATE PROPERTY,A7,0,1,1,12,1
PROPERTY - LOST/ MISSING,B3,0,1,1,12,1
ASSAULT - SIMPLE,E5,0,1,1,12,1
LARCENY SHOPLIFTING,C6,0,1,1,12,1
THREATS TO DO BODILY HARM,C11,0,1,1,12,1
BALLISTICS EVIDENCE/FOUND,A15,0,1,1,12,1
INVESTIGATE PERSON,E5,0,1,1,12,1
PROPERTY - LOST/ MISSING,A1,0,1,1,12,1
M/V ACCIDENT - PERSONAL INJURY,C6,0,1,1,12,1
LARCENY THEFT FROM MV - NON-ACCESSORY,D14,0,1,1,13,1
VERBAL DISPUTE,C6,0,1,1,13,1
HARASSMENT/ CRIMINAL HARASSMENT,A15,0,1,1,13,1
LARCENY SHOPLIFTING,D4,0,1,1,13,1
FRAUD - FALSE PRETENSE / SCHEME,A1,0,1,1,13,1
LARCENY SHOPLIFTING,D4,0,1,1,13,1
LARCENY SHOPLIFTING,C11,0,1,1,14,1
VANDALISM,B2,0,1,1,14,1
DEATH INVESTIGATION,B2,0,1,1,14,1
FRAUD - WIRE,D4,0,1,1,14,1
LARCENY THEFT FROM BUILDING,A1,0,1,1,14,1
FRAUD - CREDIT CARD / ATM FRAUD,D4,0,1,1,14,1
M/V - LEAVING SCENE - PERSONAL INJURY,E18,0,1,1,14,1
SUDDEN DEATH,A15,0,1,1,15,1
SICK/INJURED/MEDICAL - PERSON,A1,0,1,1,15,1
FRAUD - FALSE PRETENSE / SCHEME,C11,0,1,1,15,1
THREATS TO DO BODILY HARM,D14,0,1,1,15,1
FIRE REPORT,E13,0,1,1,15,1
PROPERTY - LOST/ MISSING,B2,0,1,1,16,1
VANDALISM,C6,0,1,1,16,1
LARCENY SHOPLIFTING,D4,0,1,1,16,1
LARCENY ALL OTHERS,D14,0,1,1,16,1
SICK ASSIST,B3,0,1,1,16,1
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,1,1,17,1
PROPERTY - LOST/ MISSING,D14,0,1,1,17,1
ROBBERY,C6,0,1,1,17,1
PROPERTY - LOST/ MISSING,E5,0,1,1,17,1
M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,0,1,1,17,1
WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,A1,0,1,1,18,1
LARCENY THEFT OF MV PARTS & ACCESSORIES,E5,0,1,1,18,1
M/V ACCIDENT - PERSONAL INJURY,B2,0,1,1,18,1
TOWED MOTOR VEHICLE,C6,0,1,1,18,1
THREATS TO DO BODILY HARM,C11,0,1,1,18,1
INVESTIGATE PERSON,C6,0,1,1,19,1
ASSAULT - SIMPLE,D14,0,1,1,19,1
SICK ASSIST,E13,0,1,1,19,1
FIRE REPORT,A7,0,1,1,19,1
SUDDEN DEATH,C11,0,1,1,19,1
ROBBERY,B3,0,1,1,19,1
LARCENY THEFT FROM BUILDING,D4,0,1,1,19,1
VERBAL DISPUTE,C11,0,1,1,19,1
SICK ASSIST,B2,0,1,1,19,1
MISSING PERSON - LOCATED,E5,0,1,1,20,1
M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,0,1,1,20,1
LARCENY SHOPLIFTING,D14,0,1,1,20,1
LARCENY THEFT FROM MV - NON-ACCESSORY,C11,0,1,1,20,1
INVESTIGATE PERSON,B2,0,1,1,20,1
HARASSMENT/ CRIMINAL HARASSMENT,C6,0,1,1,20,1
SICK ASSIST,C6,0,1,1,21,1
M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,0,1,1,21,1
LARCENY SHOPLIFTING,C11,0,1,1,21,1
INVESTIGATE PERSON,D4,0,1,1,21,1
M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,0,1,1,22,1
TOWED MOTOR VEHICLE,B3,0,1,1,22,1
INVESTIGATE PERSON,C11,0,1,1,22,1
M/V ACCIDENT - PROPERTY DAMAGE,C11,0,1,1,22,1
ASSAULT - AGGRAVATED,A1,0,1,1,23,1
ASSAULT - SIMPLE,D4,0,1,1,23,1
SICK ASSIST - DRUG RELATED ILLNESS,A1,0,1,1,23,1
INVESTIGATE PERSON,A1,0,1,1,23,1
SICK ASSIST,E13,0,1,1,23,1
PROPERTY - LOST/ MISSING,B3,0,1,1,0,2
VANDALISM,B3,0,1,1,0,2
M/V ACCIDENT - PROPERTY DAMAGE,C6,0,1,1,0,2
LANDLORD - TENANT,B3,0,1,1,0,2
LARCENY THEFT FROM MV - NON-ACCESSORY,C6,0,1,1,0,2
SERVICE TO OTHER AGENCY,B2,0,1,1,0,2
FRAUD - CREDIT CARD / ATM FRAUD,C11,0,1,1,0,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,0,1,1,0,2
LARCENY THEFT FROM MV - NON-ACCESSORY,B3,0,1,1,0,2
INVESTIGATE PERSON,B3,0,1,1,0,2
INVESTIGATE PERSON,B2,0,1,1,0,2
BURGLARY - COMMERICAL,A7,0,1,1,0,2
MISSING PERSON - LOCATED,B3,0,1,1,1,2
ASSAULT - AGGRAVATED,B2,0,1,1,1,2
INVESTIGATE PROPERTY,C6,0,1,1,1,2
VERBAL DISPUTE,A1,0,1,1,1,2
SICK/INJURED/MEDICAL - PERSON,E18,0,1,1,1,2
ASSAULT - SIMPLE,A1,0,1,1,1,2
VANDALISM,B3,1,1,1,1,2
LARCENY ALL OTHERS,C6,0,1,1,1,2
INVESTIGATE PROPERTY,E18,1,1,1,1,2
INVESTIGATE PERSON,A1,0,1,1,1,2
BURGLARY - COMMERICAL,E13,0,1,1,2,2
ASSAULT - SIMPLE,A1,0,1,1,2,2
SICK ASSIST,D4,0,1,1,3,2
SUDDEN DEATH,A7,0,1,1,3,2
LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,1,1,3,2
VANDALISM,B3,0,1,1,3,2
VANDALISM,B2,0,1,1,4,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,1,1,4,2
LARCENY THEFT FROM BUILDING,B2,0,1,1,6,2
BURGLARY - COMMERICAL,D4,0,1,1,6,2
ASSAULT - SIMPLE,C6,0,1,1,7,2
SICK/INJURED/MEDICAL - PERSON,C6,0,1,1,8,2
LARCENY THEFT FROM BUILDING,C6,0,1,1,8,2
SICK/INJURED/MEDICAL - PERSON,D14,0,1,1,8,2
SICK ASSIST - DRUG RELATED ILLNESS,C6,0,1,1,8,2
SUDDEN DEATH,E13,0,1,1,9,2
ASSAULT - SIMPLE,C11,0,1,1,9,2
PROPERTY - LOST/ MISSING,C11,0,1,1,9,2
AUTO THEFT,B2,0,1,1,9,2
INVESTIGATE PERSON,B3,0,1,1,9,2
VANDALISM,C11,0,1,1,9,2
M/V ACCIDENT - PROPERTY DAMAGE,,0,1,1,10,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,1,1,11,2
PROPERTY - FOUND,D14,0,1,1,11,2
INVESTIGATE PERSON,B3,0,1,1,11,2
FORGERY / COUNTERFEITING,E18,0,1,1,11,2
M/V ACCIDENT - PERSONAL INJURY,B3,0,1,1,11,2
LARCENY SHOPLIFTING,E5,0,1,1,11,2
LARCENY ALL OTHERS,A1,0,1,1,12,2
FORGERY / COUNTERFEITING,E5,0,1,1,12,2
LARCENY ALL OTHERS,E13,0,1,1,12,2
LARCENY ALL OTHERS,B3,0,1,1,12,2
DEATH INVESTIGATION,A7,0,1,1,12,2
PROPERTY - LOST/ MISSING,B3,0,1,1,12,2
SICK/INJURED/MEDICAL - POLICE,D14,0,1,1,12,2
VANDALISM,B3,0,1,1,12,2
VERBAL DISPUTE,A7,0,1,1,13,2
ASSAULT - SIMPLE,D4,0,1,1,13,2
PROPERTY - LOST/ MISSING,C11,0,1,1,13,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,0,1,1,14,2
LARCENY SHOPLIFTING,D4,0,1,1,14,2
BURGLARY - RESIDENTIAL,B2,0,1,1,14,2
INVESTIGATE PERSON,E13,0,1,1,14,2
BURGLARY - RESIDENTIAL,D14,0,1,1,14,2
ASSAULT - SIMPLE,A7,0,1,1,14,2
LARCENY THEFT FROM BUILDING,D4,0,1,1,15,2
M/V ACCIDENT - PERSONAL INJURY,B3,0,1,1,15,2
M/V ACCIDENT - PERSONAL INJURY,B2,0,1,1,15,2
VANDALISM,A1,0,1,1,15,2
M/V ACCIDENT - PROPERTY DAMAGE,E18,0,1,1,15,2
SICK/INJURED/MEDICAL - PERSON,E5,0,1,1,16,2
ASSAULT - AGGRAVATED,E18,0,1,1,16,2
ASSAULT - AGGRAVATED,B2,1,1,1,16,2
RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D4,0,1,1,16,2
VERBAL DISPUTE,A7,0,1,1,17,2
INVESTIGATE PERSON,D4,0,1,1,17,2
INVESTIGATE PERSON,B2,0,1,1,17,2
HARASSMENT/ CRIMINAL HARASSMENT,C11,0,1,1,17,2
M/V ACCIDENT - OTHER CITY VEHICLE,B2,0,1,1,17,2
LARCENY SHOPLIFTING,A7,0,1,1,17,2
VANDALISM,B2,0,1,1,17,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,0,1,1,17,2
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,0,1,1,17,2
TOWED MOTOR VEHICLE,C6,0,1,1,17,2
INVESTIGATE PROPERTY,B3,0,1,1,18,2
SICK ASSIST,C6,0,1,1,18,2
INVESTIGATE PROPERTY,E5,0,1,1,18,2
ASSAULT - AGGRAVATED,B2,1,1,1,18,2
INVESTIGATE PROPERTY,C11,0,1,1,18,2
LARCENY SHOPLIFTING,A1,0,1,1,18,2
"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,1,1,1,18,2
PROPERTY - FOUND,A1,0,1,1,18,2
AUTO THEFT,D4,0,1,1,18,2
LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,1,1,19,2
M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,B2,0,1,1,19,2
SICK ASSIST,B2,0,1,1,19,2
LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,0,1,1,19,2
LARCENY ALL OTHERS,D4,0,1,1,19,2
ROBBERY,C6,0,1,1,19,2
ROBBERY,C11,0,1,1,19,2
THREATS TO DO BODILY HARM,A1,0,1,1,19,2
INVESTIGATE PROPERTY,B3,1,1,1,19,2
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,1,1,19,2
AUTO THEFT,B2,0,1,1,20,2
FRAUD - WELFARE,B2,0,1,1,20,2
LARCENY THEFT FROM BUILDING,C6,0,1,1,20,2
AUTO THEFT,D14,0,1,1,20,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,1,1,20,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,1,1,20,2
SICK ASSIST,C6,0,1,1,20,2
VANDALISM,C11,0,1,1,20,2
LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,1,1,20,2
INVESTIGATE PERSON,D4,0,1,1,20,2
ASSAULT - SIMPLE,B2,0,1,1,20,2
SICK/INJURED/MEDICAL - POLICE,B2,0,1,1,20,2
VANDALISM,B2,0,1,1,21,2
VAL - OPERATING W/O AUTHORIZATION LAWFUL,B3,0,1,1,21,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,,0,1,1,21,2
ASSAULT - AGGRAVATED,D14,0,1,1,21,2
TOWED MOTOR VEHICLE,D4,0,1,1,21,2
INVESTIGATE PERSON,A7,0,1,1,21,2
OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,D14,0,1,1,21,2
SICK ASSIST,B3,0,1,1,21,2
PROPERTY - FOUND,A7,0,1,1,21,2
INVESTIGATE PERSON,B2,0,1,1,21,2
INVESTIGATE PERSON,C6,0,1,1,22,2
INVESTIGATE PROPERTY,B3,0,1,1,23,2
SICK/INJURED/MEDICAL - PERSON,C6,0,1,1,23,2
M/V ACCIDENT - PROPERTY DAMAGE,C6,0,1,1,23,2
M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,1,1,23,2
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,1,1,23,2
LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,1,1,23,2
SICK ASSIST,D4,0,1,1,23,2
SICK ASSIST,B2,0,1,1,23,2
SICK ASSIST,B3,0,1,1,23,2
VANDALISM,B3,0,1,1,23,2
INVESTIGATE PERSON,C11,0,1,0,0,3
LARCENY THEFT OF BICYCLE,D14,0,1,0,0,3
LARCENY SHOPLIFTING,A1,0,1,0,0,3
ROBBERY,B3,0,1,0,0,3
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,0,1,0,0,3
HARASSMENT/ CRIMINAL HARASSMENT,E13,0,1,0,0,3
FRAUD - CREDIT CARD / ATM FRAUD,B3,0,1,0,0,3
FRAUD - WIRE,C11,0,1,0,0,3
M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C6,0,1,0,0,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,1,0,0,3
VAL - OPERATING AFTER REV/SUSP.,B2,0,1,0,0,3
VERBAL DISPUTE,E13,0,1,0,1,3
MISSING PERSON - LOCATED,B2,0,1,0,1,3
VAL - VIOLATION OF AUTO LAW,B2,0,1,0,1,3
LARCENY THEFT FROM BUILDING,E5,0,1,0,1,3
INVESTIGATE PERSON,D4,0,1,0,2,3
SICK ASSIST - DRUG RELATED ILLNESS,B2,0,1,0,2,3
INVESTIGATE PROPERTY,B2,0,1,0,5,3
M/V ACCIDENT - OTHER,C11,0,1,0,6,3
TOWED MOTOR VEHICLE,A7,0,1,0,6,3
SUDDEN DEATH,E5,0,1,0,7,3
TOWED MOTOR VEHICLE,D4,0,1,0,7,3
M/V ACCIDENT - PROPERTY DAMAGE,B3,0,1,0,7,3
LANDLORD - TENANT,C11,0,1,0,7,3
TOWED MOTOR VEHICLE,E5,0,1,0,7,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,1,0,7,3
TOWED MOTOR VEHICLE,C6,0,1,0,7,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,0,1,0,7,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,0,1,0,8,3
INVESTIGATE PERSON,B3,0,1,0,8,3
TOWED MOTOR VEHICLE,A15,0,1,0,8,3
BALLISTICS EVIDENCE/FOUND,B3,0,1,0,8,3
MISSING PERSON - LOCATED,B3,0,1,0,8,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,0,1,0,8,3
M/V ACCIDENT - PROPERTY DAMAGE,B3,0,1,0,8,3
INVESTIGATE PERSON,B2,0,1,0,8,3
RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E18,0,1,0,8,3
TOWED MOTOR VEHICLE,D4,0,1,0,9,3
THREATS TO DO BODILY HARM,D4,0,1,0,9,3
M/V ACCIDENT - PROPERTY DAMAGE,C6,0,1,0,9,3
ASSAULT - SIMPLE,D14,0,1,0,9,3
M/V ACCIDENT - PERSONAL INJURY,E18,0,1,0,9,3
THREATS TO DO BODILY HARM,B2,0,1,0,9,3
LARCENY THEFT FROM BUILDING,D14,0,1,0,10,3
AUTO THEFT - LEASED/RENTED VEHICLE,D14,0,1,0,10,3
AUTO THEFT - LEASED/RENTED VEHICLE,D14,0,1,0,10,3
M/V ACCIDENT - OTHER,C11,0,1,0,10,3
BURGLARY - RESIDENTIAL,C11,0,1,0,10,3
INVESTIGATE PROPERTY,A7,0,1,0,10,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,1,0,10,3
SICK ASSIST - DRUG RELATED ILLNESS,B2,0,1,0,11,3
ROBBERY,A1,0,1,0,11,3
PROPERTY - FOUND,A1,0,1,0,11,3
M/V ACCIDENT - PROPERTY DAMAGE,B2,0,1,0,11,3
AUTO THEFT,D14,0,1,0,11,3
PROPERTY - FOUND,A1,0,1,0,11,3
PROPERTY - LOST/ MISSING,B3,0,1,0,11,3
PROPERTY - FOUND,E13,0,1,0,12,3
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,0,1,0,12,3
ASSAULT - SIMPLE,B3,0,1,0,12,3
INVESTIGATE PROPERTY,C11,0,1,0,12,3
SICK ASSIST,A15,0,1,0,12,3
VAL - VIOLATION OF AUTO LAW,B3,0,1,0,12,3
LARCENY SHOPLIFTING,A1,0,1,0,12,3
PROPERTY - LOST/ MISSING,B3,0,1,0,12,3
ROBBERY,B3,0,1,0,12,3
LARCENY THEFT FROM BUILDING,D14,0,1,0,12,3
VAL - VIOLATION OF AUTO LAW,C11,0,1,0,12,3
SICK/INJURED/MEDICAL - PERSON,C11,0,1,0,12,3
VERBAL DISPUTE,C11,0,1,0,12,3
FRAUD - IMPERSONATION,B2,0,1,0,13,3
INTIMIDATING WITNESS,B2,0,1,0,13,3
FRAUD - FALSE PRETENSE / SCHEME,B2,0,1,0,13,3
SICK/INJURED/MEDICAL - PERSON,C11,0,1,0,13,3
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,1,0,13,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,0,1,0,13,3
PROPERTY - FOUND,B2,0,1,0,13,3
M/V ACCIDENT - OTHER,D14,0,1,0,13,3
SICK ASSIST,E13,0,1,0,13,3
LARCENY THEFT FROM BUILDING,B2,0,1,0,13,3
EXTORTION OR BLACKMAIL,E5,0,1,0,14,3
LARCENY THEFT FROM BUILDING,D4,0,1,0,14,3
VANDALISM,D14,0,1,0,14,3
PROPERTY - LOST/ MISSING,B2,0,1,0,14,3
THREATS TO DO BODILY HARM,B2,0,1,0,14,3
RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E13,0,1,0,14,3
VERBAL DISPUTE,B2,0,1,0,14,3
STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,B2,0,1,0,15,3
FRAUD - CREDIT CARD / ATM FRAUD,E13,0,1,0,15,3
VERBAL DISPUTE,B2,0,1,0,15,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,0,1,0,15,3
LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,0,1,0,15,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,1,0,15,3
INVESTIGATE PROPERTY,B2,0,1,0,15,3
LARCENY SHOPLIFTING,A1,0,1,0,15,3
M/V PLATES - LOST,B2,0,1,0,16,3
LARCENY SHOPLIFTING,A7,0,1,0,16,3
VAL - OPERATING W/O AUTHORIZATION LAWFUL,C11,0,1,0,16,3
LARCENY SHOPLIFTING,A1,0,1,0,16,3
THREATS TO DO BODILY HARM,B3,0,1,0,16,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,1,0,16,3
LARCENY SHOPLIFTING,A1,0,1,0,16,3
INVESTIGATE PROPERTY,C6,0,1,0,16,3
INVESTIGATE PERSON,B3,0,1,0,17,3
SICK ASSIST,E5,0,1,0,17,3
M/V ACCIDENT - PROPERTY DAMAGE,E18,0,1,0,17,3
INVESTIGATE PROPERTY,B3,0,1,0,17,3
ASSAULT - SIMPLE,A1,0,1,0,17,3
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,0,1,0,17,3
ASSAULT - AGGRAVATED,E5,0,1,0,17,3
VANDALISM,B2,0,1,0,17,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,0,1,0,17,3
INVESTIGATE PROPERTY,B3,1,1,0,17,3
VANDALISM,C11,0,1,0,18,3
M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,A15,0,1,0,18,3
SICK ASSIST - DRUG RELATED ILLNESS,B2,0,1,0,18,3
VANDALISM,C6,0,1,0,18,3
SICK ASSIST,E5,0,1,0,18,3
M/V ACCIDENT - PERSONAL INJURY,A15,0,1,0,18,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,0,1,0,18,3
LARCENY SHOPLIFTING,E18,0,1,0,18,3
VAL - OPERATING AFTER REV/SUSP.,E18,0,1,0,18,3
SICK ASSIST,E18,0,1,0,18,3
INVESTIGATE PERSON,D4,0,1,0,18,3
INVESTIGATE PERSON,D4,0,1,0,18,3
FRAUD - FALSE PRETENSE / SCHEME,E5,0,1,0,18,3
SICK ASSIST,E5,0,1,0,18,3
LARCENY ALL OTHERS,B3,0,1,0,18,3
VANDALISM,E13,0,1,0,18,3
INVESTIGATE PERSON,C6,0,1,0,18,3
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,0,1,0,19,3
AUTO THEFT,A7,0,1,0,19,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,0,1,0,19,3
VAL - VIOLATION OF AUTO LAW,C11,0,1,0,19,3
AUTO THEFT,D4,0,1,0,19,3
M/V ACCIDENT - PERSONAL INJURY,D4,0,1,0,19,3
DEATH INVESTIGATION,B2,0,1,0,19,3
LARCENY SHOPLIFTING,B3,0,1,0,19,3
THREATS TO DO BODILY HARM,D14,0,1,0,19,3
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13,0,1,0,20,3
ROBBERY,E5,0,1,0,20,3
M/V ACCIDENT - PROPERTY DAMAGE,B2,0,1,0,20,3
M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,1,0,20,3
ARSON,A1,0,1,0,20,3
